1	0.0	1	0.0	1	0.0
3	0.0	3	0.0	3	0.0
5	0.0	5	0.0	5	0.0
7	0.0	7	1.998001998001998e-05	7	-1.998001998001998e-05
9	1.998001998001998e-05	9	0.00020945176371351984	9	-0.00018947174373349986
11	0.0001298501897304293	11	0.0004787242440247046	11	-0.00034887405429427534
13	0.00045928129736584616	13	0.001679138599604086	13	-0.0012198573022382398
15	0.001694999370009457	15	0.003931520212020412	15	-0.0022365208420109545
17	0.005185021237382114	17	0.011568367037211742	17	-0.006383345799829628
19	0.014426617240559454	19	0.02688079251325434	19	-0.012454175272694885
21	0.03454512989676829	21	0.057439401982957605	21	-0.022894272086189313
23	0.07572823178094265	23	0.11965088355910979	23	-0.043922651778167135
25	0.1587132041426343	25	0.2326801148398783	25	-0.07396691069724401
27	0.31152256336541806	27	0.41731053140510715	27	-0.1057879680396891
29	0.5603025197952476	29	0.674699416237743	29	-0.1143968964424954
31	0.8867951701393869	31	0.8829691891602287	31	0.0038259809791582056
33	1.0	33	0.9838959464346705	33	0.016104053565329512
None	None	35	1.0	35	0.0
