1	0.0	1	0.0	1	0.0
41	0.0	41	0.0	41	0.0
81	0.0	81	0.0	81	0.0
121	0.0	121	9.99000999000999e-06	121	-9.99000999000999e-06
161	9.982039898279204e-05	161	0.00010975076724056853	161	-9.930368257776495e-06
201	0.00018961096733766754	201	0.00016963106640302127	201	1.997990093464627e-05
241	0.0005775172336368053	241	0.000606859079887062	241	-2.934184625025672e-05
281	0.0017302608735014608	281	0.0014220560091457398	281	0.00030820486435572097
321	0.0037336895298601923	321	0.003783789128433866	321	-5.0099598573673763e-05
361	0.009542941664362783	361	0.008926977526186385	361	0.0006159641381763975
401	0.022635469109557556	401	0.022872807818652193	401	-0.0002373387090946373
441	0.053123186356562914	441	0.054982732024427064	441	-0.00185954566786415
481	0.1233677171167616	481	0.1293102558330136	481	-0.0059425387162519855
521	0.2686006960072306	521	0.2814834138629621	521	-0.01288271785573153
561	0.52700941556908	561	0.5398676094129985	561	-0.012858193843918508
601	0.8356653769178459	601	0.8299380028695963	601	0.005727374048249634
641	0.9898849999999996	641	0.975274115675399	641	0.01461088432460056
681	0.9999979999999999	681	0.9987499999999998	681	0.0012480000000001379
