1	0.0003846153846153846	1	0.0003846153846153846	1	0.0
2	0.0004761904761904762	2	0.0008502840388491845	2	-0.0003740935626587083
4	0.0021471718923670004	4	0.0027760198362348585	4	-0.0006288479438678581
5	0.0017791874576964855	5	0.004889530850497577	5	-0.003110343392801092
7	0.007848041769780623	7	0.01109649889587859	7	-0.003248457126097967
8	0.010055820210659927	8	0.015351815255029022	8	-0.005295995044369095
10	0.025076000573771066	10	0.033794176652605916	10	-0.00871817607883485
11	0.03912350423202969	11	0.051719349910716694	11	-0.012595845678687004
13	0.08048156613990494	13	0.10090892116974047	13	-0.02042735502983553
14	0.11935255283034409	14	0.1458073010883758	14	-0.02645474825803172
16	0.2328516939720363	16	0.2788539993707216	16	-0.04600230539868527
17	0.31324719656226035	17	0.3711043266168157	17	-0.05785713005455534
19	0.5646604626088833	19	0.6306010000095101	19	-0.06594053740062689
20	0.7246436903031127	20	0.7706087808732359	20	-0.04596509057012321
22	1.0	22	0.9438908473143256	22	0.0561091526856744
None	None	23	0.9839711220106393	23	0.0160288779893607
None	None	25	1.0	25	0.0
