1	0.0	1	0.0	1	0.0
801	0.0	801	0.0	801	0.0
1601	0.0	1601	0.0	1601	0.0
2401	0.0	2401	0.0	2401	0.0
3201	0.0	3201	0.0	3201	0.0
4001	0.0	4001	0.0	4001	0.0
4801	0.0	4801	0.0	4801	0.0
5601	0.0	5601	0.0	5601	0.0
6401	0.0	6401	0.0	6401	0.0
7201	0.0	7201	0.0	7201	0.0
8001	9.900990099009902e-05	8001	0.00019801980198019803	8001	-9.900990099009902e-05
8801	0.00039603960396039607	8801	0.0009900990099009901	8801	-0.000594059405940594
9601	0.0027665096606748064	9601	0.0031547837822046066	9601	-0.0003882741215298002
10401	0.011359861966954946	10401	0.010084764345922047	10401	0.001275097621032898
11201	0.06077725153118539	11201	0.05945815991982503	11201	0.0013190916113603596
12001	0.2768864700915068	12001	0.2723494491137259	12001	0.0045370209777809145
12801	0.8044818311320293	12801	0.7938049569759867	12801	0.01067687415604257
13601	0.9997899999999998	13601	0.9992399999999999	13601	0.0005499999999999394
